team,wins
Brazil,25
Germany,16
France,15
Italy,15
West Germany,11
Argentina,9
Netherlands,7
Uruguay,6
Hungary,4
Portugal,3
England,3
Belgium,3
Croatia,3
USA,2
Austria,2
Sweden,2
Poland,2
Russia,2
South Korea,2
Spain,2
Japan,2
Yugoslavia,1
Soviet Union,1
Czechoslovakia,1
Chile,1
North Korea,1
Bulgaria,1
East Germany,1
Algeria,1
Denmark,1
Cameroon,1
Nigeria,1
Senegal,1
Turkey,1
Australia,1
Ghana,1
Colombia,1
Mexico,1
Ecuador,1
Saudi Arabia,1
Morocco,1
