year,team1,score1,score2,team2,winner
1930,Uruguay,4,2,Argentina,Uruguay
1934,Italy,2,1,Czechoslovakia,Italy
1938,Italy,4,2,Hungary,Italy
1954,West Germany,3,2,Hungary,West Germany
1958,Brazil,5,2,Sweden,Brazil
1962,Brazil,3,1,Czechoslovakia,Brazil
1966,England,4,2,West Germany,England
1970,Brazil,4,1,Italy,Brazil
1974,West Germany,2,1,Netherlands,West Germany
1978,Argentina,3,1,Netherlands,Argentina
1982,Italy,3,1,West Germany,Italy
1986,Argentina,3,2,West Germany,Argentina
1990,West Germany,1,0,Argentina,West Germany
1994,Brazil,0,0,Italy,TIE
1998,France,3,0,Brazil,France
2002,Brazil,2,0,Germany,Brazil
2006,Italy,1,1,France,TIE
2010,Spain,1,0,Netherlands,Spain
2014,Germany,1,0,Argentina,Germany
2018,France,4,2,Croatia,France
2022,Argentina,3,3,France,TIE
